,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
3975,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2018,Manual,15658,1,Petrol,56299,823,Zero downpayment,Pune,Maharashtra
3976,Hyundai i20,Hyundai,STA 1.2 ,2013,Manual,70423,2,Petrol,56699,159,Zero downpayment,Pune,Maharashtra
3977,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2018,Manual,19726,1,Petrol,56199,597,Zero downpayment,Pune,Maharashtra
3978,Hyundai i20,Hyundai,SPORTZ 1.2 VTVT ,2013,Manual,33180,3,Petrol,30599,578,Zero downpayment,Pune,Maharashtra
3979,Maruti Wagon R 1.0,Maruti,VXI AMT ,2015,Automatic,33687,1,Petrol,81999,722,Zero downpayment,Pune,Maharashtra
3980,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,42680,1,Diesel,12599,76,Zero downpayment,Pune,Maharashtra
3981,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2019,Automatic,11373,2,Petrol,55999,368,Zero downpayment,Pune,Maharashtra
3982,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,68934,1,Petrol,35799,143,Zero downpayment,Pune,Maharashtra
3983,Hyundai Elite i20,Hyundai,1.4 CRDI ASTA (O) ,2017,Manual,91411,1,Diesel,80299,133,Zero downpayment,Pune,Maharashtra
3984,Maruti Vitara Brezza,Maruti,ZXI ,2020,Manual,23940,1,Petrol,42799,972,Zero downpayment,Pune,Maharashtra
3985,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2018,Manual,37428,1,Diesel,77899,528,Zero downpayment,Pune,Maharashtra
3986,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2012,Manual,107841,2,Petrol,82399,506,Zero downpayment,Pune,Maharashtra
3987,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2019,Automatic,10102,1,Petrol,80399,808,Zero downpayment,Pune,Maharashtra
3988,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,32179,1,Petrol,26099,478,Zero downpayment,Pune,Maharashtra
3989,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2017,Manual,46375,1,Petrol,17799,518,Zero downpayment,Pune,Maharashtra
